,id,categories,name,price,type,accessories
169,93608270,1,"KIT, GRIP, DIAMOND BLACK",109.890000,simple,
170,93608271,1,"KIT, GRIP, 1.5 SKULL",109.890000,simple,
171,93608272,1,"KIT, GRIP, DIAMOND BLACK, E-TH",109.890000,simple,
172,93608273,1,"WINDSHIELD TRIM,BILLET",109.890000,simple,
173,93608275,1,"KIT, GRIP, E-THROTTLE, OBSOLET",97.920000,simple,
174,93608276,1,SWING ARM BAG BLACK,97.800000,simple,
175,93608277,1,HORN COVER,97.830000,simple,
176,93608278,1,"KIT, GRIP, AILERON OBSOLETO",87.030000,simple,
177,93608279,10000015,"KIT,FUEL FILL,FLUSH MOUNT,BLAC",88.120000,simple,
178,93608280,1,"SADDLEBAG GUARD BAG, LEFT SIDE",88.120000,simple,
179,93608281,1,"FUEL CAP,FLUSHMNT,CHROME/FXS",87.030000,simple,
180,93608282,1,"KIT, GRIP, NOSTALGIC",77.230000,simple,
181,93608283,10000015,"KIT,HORN,CVR,SKULL,BLK",77.230000,simple,
182,93608284,1,FRONT DIRECTIONAL MOUNTING KIT,76.140000,simple,
183,93608285,10000015,"KIT,COIL COVER,BLACK",66.350000,simple,
184,93608286,1;10006;10007;10087;10000388,TAPON DEPOSITO NEGRO CON LLAVE,66.350000,simple,
185,93608288,10000015,"KIT,RIDE FREE,AIR CLEANER TRIM",66.350000,simple,
186,93608289,1,"KIT,FUEL FILL,DIAMOND BLACK",60.900000,simple,
187,93608290,1,ALFORJA BASCULANTE XL LISA,57.500000,simple,
188,93608292,10000015,"CHROME ""LIVE TO RIDE"" A/C TRIM",54.370000,simple,
189,93608293,10000015,"41MM QUICK-REL'SE,W'SHLD LOCK",48.930000,simple,
190,93608294,1,"49MM QUICK-REL'SE,W'SHLD LOCK",79.950000,simple,
191,93608295,1,"KIT, CLEAR FENDER TIP LENS WIT",48.930000,simple,
192,93608296,1,"KIT-BRACKET,SDSTND,EXT'NSN,SOF",48.930000,simple,
193,93608297,1,"GAS CAP MEDALLION, CLOISONNE'",50.450000,simple,
194,93608298,1,"HEADLIGHT, BEZEL 7 IN.",48.930000,simple,
195,93608299,1,"OIL DIPSTICK TEMP W/ GAUGE, ST",44.580000,simple,
196,93608300,1,"KIT,CLEAR LENS TURN SIGNAL,BUL",44.580000,simple,
197,93608301,1,"KIT, TURN SIGNAL TRIM RINGS, S",41.310000,simple,
198,93608302,1,"COVER, BRAKE RESERVOIR, DOT 4",39.130000,simple,
199,93608303,1,"KIT, BILLET THROTTLE CABLE CLA",39.130000,simple,
200,93608304,1,"TURN SIGNAL TRIM RING, BULLET",38.040000,simple,
201,93608305,1,"KIT-CHROME,SWITCH CAPKEYS,SPOR",29.340000,simple,
202,93608306,1,"KIT SWITCH CAP,EXTENSION,T SGN",28.250000,simple,
203,93608307,1,OIL CATCHER - FILTER REMOVAL,27.280000,simple,
204,93610467,1,CHAQUETA GRIT ADVENTURE BY HARLEY-DAVIDSON,0.000000,simple,
205,93610535,1,ELEVADORES CURVADOS PULL BACK FAT - CROMADOS,218.560000,simple,
206,93611043,1,TRAVEL PAK MALETAS-RIGIDAS,77.230000,simple,
207,93611048,1,ARANDELA DE RETENCION,0.560000,simple,
208,93600651,7;10094,"BUNGEE CORD 18""",3.210000,simple,
209,93606347,7,KIT CABLEADO ´08-´09,32.181818,pack,
210,93606392,7,PRESUPUESTO 5344,163.360000,simple,
211,93606420,7,PRESUPUESTO DIFERENCIA,19.030000,simple,
212,93606421,7,PRESUPUESTO 5363,300.150000,simple,
213,93606441,7,PORTES PEDIDO 1743 + 1749,887.910000,simple,
214,93606443,7,PRESUPUESTO 2422,656.190000,simple,
215,93606852,7,PRESUPUESTO 5714,709.650000,simple,
216,93606862,7;10087,PRESUPUESTO 11467,144.720000,simple,
217,93606867,7,DIFERENCIA A PAGAR,5.150000,simple,
218,93607213,7,111ACCESORIOS,0.000000,simple,
219,93607271,7;10006;10007;10008;10009;10089;10110;10000093;10000094;10000102;10000130;10000245;10000255,TAPA DE BOCINA DARK CUSTOM,77.230000,simple,
220,93607323,7;10000404,ASIENTO REACH RIDER - MODELO STREET ROD,219.830000,simple,
221,93607340,7,ABRAZADERA,33.880000,simple,
222,93609239,7;10009;10087;10000015;10000035,"GASKET, PRIMARY COVER",45.250000,simple,
223,2525272,9;10029;10030,115TH ANNIVERSARY EAGLE CE-CERTIFIED LEATHER JACKET,0.000000,simple,
